三林久丰农贸市场 , 浦东新区林浦路762弄-1-~27号-临
万胜农贸市场(梅川路店) , 梅川路万镇路605号
新河镇农贸市场 , 崇明县其他康复路152号
颐和农贸市场 , 大华地区武威东路405号
八字桥菜场 , 青浦区胜利路502号
E菜场 , 赤峰路东体育会路661号1楼
固美优生活 , 北蔡沪南公路2000号农贸市场粮油区120门店
华猫塑胶一次性用品 , 闵行区九星综合市场九星路农贸市场北外16号
幸福农家乐 , 陈家镇陈家镇农贸市场118号
沈巷农贸市场 , 青浦区沈砖公路714号附近
十邨农贸市场 , 浦东新区华夏中路2555号附近
谭杨村农贸市场 , 宝山区潘泾路815号
亭林农贸市场 , 亭林亭林镇寺平北路111弄28号
万寿农贸市场 , 青浦区万寿路29号
卫星村农贸市场 , 华漕联友路1697号
香花桥农贸市场 , 青浦区普光路59号
祥东农贸市场 , 松江区车墩镇车峰路300号
向化镇农贸市场 , 向化镇向贸路45-3号
小昆山农贸市场 , 松江区昆港公路2132号附近
小蒸农贸市场 , 青浦区贞溪南路221号附近
辛峰农贸市场 , 松江区天陆路51号
新浜农贸市场 , 松江区新浜镇新绿路752弄8号
新泾农贸市场 , 新桥申港路1450弄-3号-临
新西渡农贸市场 , 西渡扶港路388弄-16
轿行农贸市场 , 南桥轿行村221号附近
里灶农贸市场 , 浦东新区老芦公路1030号临附近
联丰农贸市场 , 浦东新区三林镇高青路洪山路口
罗泾农贸市场 , 宝山区陈镇路158号
南堡农贸市场 , 堡镇堡兴路76号
南石农贸市场 , 真如南石四路114号
泥城镇农贸市场 , 浦东新区银品路
齐贤农贸市场 , 奉贤区农民街139号
钱门农贸市场 , 嘉定区外钱公路1902号附近
强恕农贸市场 , 松江区叶榭镇新源路399弄166号附近
茸北农贸市场 , 松江镇茸梅路145号
人乐农贸市场 , 松江镇中山二路472号附近
庆华农贸市场 , 青浦区新海路76号
沙河农贸市场 , 嘉定区华江公路1071号
上海塔城综合农贸市场(塔城路800... , 嘉定镇塔城路780弄23号附近
兴康农贸市场 , 金山区枫泾镇兴塔强兴路1号
宣桥镇宣城农贸市场 , 惠南镇宣桥大街16号
永昌杨家桥农贸市场(交通路店) , 桃浦真北路2904弄38号
永乐村槎山农贸市场 , 嘉定区翔乐路255号
栅桥小区农贸市场 , 嘉定区真新新村
赵屯农贸市场 , 青浦区新赵路55号附近
柘林农贸市场 , 奉贤区沪杭公路3347号
直属村农贸市场 , 川沙星升路1124号
虹桥农贸市场 , 虹梅路虹梅路2818号
兰桥农贸市场 , 江学路思贤路1328号
秀野桥农贸市场 , 飞航广场中山西路19弄11-18号
洞泾农贸市场 , 松江区洞泾镇同乐路236号
朱行农贸市场 , 朱行朱行镇恒顺路48号
天平综合农贸市场 , 宝山区石太路1690号临附近
储店农贸市场 , 浦东新区普新路726号
泖港农贸市场 , 松江区泖港镇中兴路155号
普乐路临时农贸市场 , 春申地区普乐路462临
宝静农贸市场 , 万源城/东兰路静安新城6区36号
星海综合农贸市场 , 莘庄莘东路25号
菜花泾农贸市场 , 松江镇乐都路94号
和龙农贸市场 , 浦东新区和龙路459号
华环绿杨农贸市场 , 桃浦古浪路1685号
华环云岭农贸市场 , 梅川路云岭西路121号
华配农贸市场 , 桃浦真南路1565号
建新农贸市场 , 嘉定区建新路9号
姜家桥农贸市场 , 宝山区沪太支路1040-6号
凯歌农贸市场 , 浦东新区灵岩南路560号
罗溪农贸市场 , 美兰湖罗溪路800号
梅陇农贸市场 , 闵行区镇西路525号
美都农贸市场 , 南桥运河北路155号
民主农贸市场 , 青浦区诸光路
内江支路农贸市场 , 黄兴公园内江支路1号
平江农贸市场 , 火车站中华新路1154号
戚家墩农贸市场 , 金山卫隆安东路358号
清涧农贸市场 , 桃浦真光路2285号
上海新津农贸市场(场中路店) , 彭浦新村场中路2527号
石化四村农贸市场 , 金山卫卫零路120弄27号
万源农贸市场 , 万源城/东兰路古龙路402层
卫家角农贸市场 , 青浦区谢卫路398号
金山卫农贸市场 , 金山卫板桥西路1388号
西法华农贸市场 , 上海影城/新华路杨宅路20号
先丰农贸市场 , 崇明县其他凤滨路983弄1~110号
沿江农贸市场 , 浦东新区沿浦路741号
玉乐农贸市场 , 飞航广场仓丰路
缘盛农贸市场正玉分场 , 西藏北路/中兴路光复西路1973号
张桥农贸市场 , 金桥金高路2021号
张翁庙韩飞农贸市场 , 奉贤区金轩路445号
张泽农贸市场 , 松江区叶榭镇竹亭路59号
